sku,ean13,categoria,familia,color,control,potencia_w,corriente_a,flujo_lm,angulo,cct,ip,ubicacion,tension_v,medidas_mm,peso_g,garantia_anios,marca,proveedor,linea,precio_ars
RMS-CM-B-7W-24G-WW,7428325585058,Spot,Spot Móvil Simple,Blanco,Dimeable,7W,0.15A,370,24°,2200K (cálida),20,Interior,DC48V,,160,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-B-7W-36G-WW,7428325585065,Spot,Spot Móvil Simple,Blanco,Dimeable,7W,0.15A,370,36°,2200K (cálida),20,Interior,DC48V,,160,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CM-B-7W-24G,7428325586031,Spot,Spot Móvil Simple,Blanco,Smart,7W,0.15A,370,24°,2000-5000K (dinámico),20,Interior,DC48V,,160,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-B-12W-15G-WW,7428325585102,Spot,Spot Móvil Simple,Blanco,Dimeable,12W,0.24A,840,15°,2200K (cálida),20,Interior,DC48V,,175,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-B-12W-24G-WW,7428325585119,Spot,Spot Móvil Simple,Blanco,Dimeable,12W,0.24A,840,24°,2200K (cálida),20,Interior,DC48V,,175,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-B-12W-36G-WW,7428325585126,Spot,Spot Móvil Simple,Blanco,Dimeable,12W,0.24A,840,36°,2200K (cálida),20,Interior,DC48V,,175,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CM-B-12W-24G,7428325586093,Spot,Spot Móvil Simple,Blanco,Smart,12W,0.24A,840,24°,2000-5000K (dinámico),20,Interior,DC48V,,175,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-B-15W-15G-WW,7428325585133,Spot,Spot Móvil Simple,Blanco,Dimeable,15W,0.33A,1050,15°,2200K (cálida),20,Interior,DC48V,,250,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-B-15W-24G-WW,7428325585140,Spot,Spot Móvil Simple,Blanco,Dimeable,15W,0.33A,1050,24°,2200K (cálida),20,Interior,DC48V,,250,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-B-15W-36G-WW,7428325585157,Spot,Spot Móvil Simple,Blanco,Dimeable,15W,0.33A,1050,36°,2200K (cálida),20,Interior,DC48V,,250,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CM-B-15W-24G,7428325586123,Spot,Spot Móvil Simple,Blanco,Smart,15W,0.33A,1050,24°,2000-5000K (dinámico),20,Interior,DC48V,,250,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-5W-15G-WW,7428325584389,Spot,Spot Móvil Simple,Negro,Dimeable,5W,0.11A,275,15°,2200K (cálida),20,Interior,DC48V,,98,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-5W-24G-WW,7428325584396,Spot,Spot Móvil Simple,Negro,Dimeable,5W,0.11A,275,24°,2200K (cálida),20,Interior,DC48V,,98,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-5W-36G-WW,7428325584402,Spot,Spot Móvil Simple,Negro,Dimeable,5W,0.11A,275,36°,2200K (cálida),20,Interior,DC48V,,98,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CM-N-5W-24G,7428325585515,Spot,Spot Móvil Simple,Negro,Smart,5W,0.11A,275,24°,2000-5000K (dinámico),20,Interior,DC48V,,98,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-7W-15G-WW,7428325584440,Spot,Spot Móvil Simple,Negro,Dimeable,7W,0.15A,370,15°,2200K (cálida),20,Interior,DC48V,,160,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-7W-24G-WW,7428325584457,Spot,Spot Móvil Simple,Negro,Dimeable,7W,0.15A,370,24°,2200K (cálida),20,Interior,DC48V,,160,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-7W-36G-WW,7428325584464,Spot,Spot Móvil Simple,Negro,Dimeable,7W,0.15A,370,36°,2200K (cálida),20,Interior,DC48V,,160,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CM-N-7W-24G,7428325585577,Spot,Spot Móvil Simple,Negro,Smart,7W,0.15A,370,24°,2000-5000K (dinámico),20,Interior,DC48V,,160,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-12W-15G-WW,7428325584501,Spot,Spot Móvil Simple,Negro,Dimeable,12W,0.24A,840,15°,2200K (cálida),20,Interior,DC48V,,175,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-12W-24G-WW,7428325584518,Spot,Spot Móvil Simple,Negro,Dimeable,12W,0.24A,840,24°,2200K (cálida),20,Interior,DC48V,,175,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-12W-36G-WW,7428325584525,Spot,Spot Móvil Simple,Negro,Dimeable,12W,0.24A,840,36°,2200K (cálida),20,Interior,DC48V,,175,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CM-N-12W-24G,7428325585638,Spot,Spot Móvil Simple,Negro,Smart,12W,0.24A,840,24°,2000-5000K (dinámico),20,Interior,DC48V,,175,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-15W-15G-WW,7428325584532,Spot,Spot Móvil Simple,Negro,Dimeable,15W,0.33A,1050,15°,2200K (cálida),20,Interior,DC48V,,250,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-15W-24G-WW,7428325584549,Spot,Spot Móvil Simple,Negro,Dimeable,15W,0.33A,1050,24°,2200K (cálida),20,Interior,DC48V,,250,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CM-N-15W-36G-WW,7428325584556,Spot,Spot Móvil Simple,Negro,Dimeable,15W,0.33A,1050,36°,2200K (cálida),20,Interior,DC48V,,250,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CM-N-15W-24G,7428325585669,Spot,Spot Móvil Simple,Negro,Smart,15W,0.33A,1050,24°,2000-5000K (dinámico),20,Interior,DC48V,,250,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CMD-B-10W-15G-WW,7428325585010,Spot,Spot Móvil Doble,Blanco,Dimeable,10W,0.20A,700,15°,2200K (cálida),20,Interior,DC48V,,147,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CMD-B-10W-24G-WW,7428325585027,Spot,Spot Móvil Doble,Blanco,Dimeable,10W,0.20A,700,24°,2200K (cálida),20,Interior,DC48V,,147,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CMD-B-10W-36G-WW,7428325585034,Spot,Spot Móvil Doble,Blanco,Dimeable,10W,0.20A,700,36°,2200K (cálida),20,Interior,DC48V,,147,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CMD-B-10W-24G,7428325586000,Spot,Spot Móvil Doble,Blanco,Smart,10W,0.20A,700,24°,2000-5000K (dinámico),20,Interior,DC48V,,147,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CMD-B-14W-15G-WW,7428325585010,Spot,Spot Móvil Doble,Blanco,Dimeable,14W,0.26A,980,15°,2200K (cálida),20,Interior,DC48V,,275,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CMD-B-14W-24G-WW,7428325585027,Spot,Spot Móvil Doble,Blanco,Dimeable,14W,0.26A,980,24°,2200K (cálida),20,Interior,DC48V,,275,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CMD-B-14W-36G-WW,7428325585034,Spot,Spot Móvil Doble,Blanco,Dimeable,14W,0.26A,980,36°,2200K (cálida),20,Interior,DC48V,,275,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CMD-B-14W-24G,7428325586062,Spot,Spot Móvil Doble,Blanco,Smart,14W,0.26A,980,24°,2000-5000K (dinámico),20,Interior,DC48V,,275,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CMD-N-10W-15G-WW,7428325584419,Spot,Spot Móvil Doble,Negro,Dimeable,10W,0.20A,700,15°,2200K (cálida),20,Interior,DC48V,,147,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CMD-N-10W-24G-WW,7428325584426,Spot,Spot Móvil Doble,Negro,Dimeable,10W,0.20A,700,24°,2200K (cálida),20,Interior,DC48V,,147,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CMD-N-10W-36G-WW,7428325584433,Spot,Spot Móvil Doble,Negro,Dimeable,10W,0.20A,700,36°,2200K (cálida),20,Interior,DC48V,,147,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-S-CMD-N-10W-24G,7428325585546,Spot,Spot Móvil Doble,Negro,Smart,10W,0.20A,700,24°,2000-5000K (dinámico),20,Interior,DC48V,,147,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
RMS-CMD-N-14W-15G-WW,7428325584471,Spot,Spot Móvil Doble,Negro,Dimeable,14W,0.26A,980,15°,2200K (cálida),20,Interior,DC48V,,275,3,Macroled,MAZ Iluminación,Skyline (riel magnético 48V),
